id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
6474224,52982000,infostrada,4826996.0,-1.0,KIM,Sei Young,91969,Republic of Korea,123,Korea,9.0,-10,-10000.0,567463,Individual - Women,Individual - Women,Senior,35883,186,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,48,Golf,Golf,38,Golf,81,Golf,6648,Golf Individuel - Femmes,Femmes,Individuel,1,1,1,0,0,27,Fédération Française de Golf,GOLF,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
13623410,801930729,infostrada,,,,,15947,Republic of Korea,123,Korea,2.0,,,429989,Team Sabre - Women,Team Sabre - Women,Senior,58814,81,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,33,Escrime,Fencing,35,Sabre,68,Sabre,6548,Par équipes Sabre - Femmes,Femmes,Equipe,0,1,1,0,0,82,Fédération Française d'Escrime,ESCRIME,2024-07-26 03:00:47.417,2024-10-02 03:00:57.673
6648704,704857894,infostrada,6150299.0,-1.0,HERNANDEZ RIOS,Yurisandy,12062,Cuba,57,Cuba,17.0,,,399937,75kg - Men,75kg - Men,Senior,20764,362,Olympic Games,1,JO été,2016,05/08/2016,21/08/2016,1145,Rio de Janeiro,53,Brazil,46,Lutte gréco-romaine,Wrestling - Greco-Roman,262,Lutte,129,Lutte gréco-romaine,889867,75kg - Hommes,Hommes,Individuel,1,0,1,0,0,42,Fédération Française de Lutte,LUTTE,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
7971086,52737600,infostrada,4784337.0,-1.0,KUBOVÁ,Simona,96908,Czech Republic,59,Czech Republic,27.0,31/12/2034 1:00,61350.0,554242,100m Backstroke - Women,100m Backstroke - Women,Senior,33971,301,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,6566,100m Dos - Femmes,Femmes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
13619280,711988685,infostrada,398030.0,-1.0,HE,Bingjiao,15967,China,46,China,2.0,,,435576,Singles - Women,Singles - Women,Senior,58812,312,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,55,Badminton,Badminton,9,Badminton,92,Badminton,6479,Simple - Femmes,Femmes,Individuel,1,1,1,0,0,10,Fédération Française de Badminton,BADMINTON,2024-07-24 03:00:48.507,2025-03-31 03:07:57.530
10941058,40327804,infostrada,14753521.0,-1.0,KIM,Ryon-Hyang,92788,DPR Korea,182,DPR Korea,,,,549997,Giant Slalom - Women,Giant Slalom - Women,Senior,33818,423,Olympic Games,2,JO Hiver,2018,09/02/2018,25/02/2018,1088,Pyeongchang,162,Korea,34,Ski alpin,Alpine Skiing,107,Ski alpin,257,Ski alpin,6790,Slalom géant - Femmes,Femmes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6667574,52926495,infostrada,7705179.0,-1.0,BA,Houleye,95814,Mauritania,156,Mauritania,71.0,15.26,15260.0,557859,100m - Women,100m - Women,Senior,35870,413,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,18,Sprint,6527,100m - Femmes,Femmes,Individuel,1,1,1,0,0,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
13626492,64449034,infostrada,18379145.0,-1.0,SAVASTE,Joni,89897,Finland,74,Finland,,,,580126,Cross Country - Men,Cross Country - Men,Senior,58837,462,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,12,Cyclisme - VTT,Mountain Bike,256,VTT,54,Cross-country,543,Cross Country - Hommes,Hommes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-07-30 03:00:48.120,2024-10-02 03:00:57.673
6656632,52685854,infostrada,4835465.0,-1.0,SCHIR,Théry,91036,Switzerland,207,Switzerland,7.0,109,109000.0,556480,Omnium - Men,Omnium - Men,Senior,35902,337,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,13,Cyclisme - Piste,Cycling - Track,22,Piste,47,Endurance,430,Omnium - Hommes,Hommes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
12255651,54672506,infostrada,4665706.0,-1.0,EYBOG,Daniil,201556,ROC,387,Russian Olympic Committee,24.0,,,230000,1500m - Men,1500m - Men,Senior,45641,220,Olympic Games,2,JO Hiver,2022,04/02/2022,20/02/2022,1494,Beijing,72,China,21,Patinage de vitesse - Short Track,Short Track,400,Patinage de vitesse sur glace courte piste,288,Short track,420,1500m - Hommes,Hommes,Individuel,1,1,0,0,0,80,Fédération Française des Sports de Glace,SPORTS DE GLACE,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
13629781,405272039,infostrada,,,,,219882,Individual Neutral Athlete,438,Individual Neutral Athlete,2.0,30/11/2041 6:00,402960.0,597578,Single Sculls - Men,Single Sculls - Men,Senior,58848,315,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,15,Aviron,Rowing,8,Aviron,25,Aviron,351,Skiff - Hommes,Hommes,Equipe,0,1,1,0,0,79,Fédération Française d'Aviron,AVIRON,2024-08-04 03:00:50.450,2025-03-31 03:07:57.530
6546457,34495022,infostrada,4755238.0,-1.0,BOYLE,Lauren,94047,New Zealand,170,New Zealand,9.0,25/12/1983 7:59,505840.0,531470,800m Freestyle - Women,800m Freestyle - Women,Senior,30060,301,Olympic Games,1,JO été,2016,05/08/2016,21/08/2016,1145,Rio de Janeiro,53,Brazil,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,6660,800m Nage libre - Femmes,Femmes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
13619850,711989277,infostrada,681444.0,-1.0,KHANKAN,Adnan,62303,Refugee Olympic Team,305,Refugee Olympic Team,17.0,,,626193,100kg - Men,100kg - Men,Senior,58815,432,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,61,Judo,Judo,68,Judo,112,Judo,345,100kg - Hommes,Hommes,Individuel,1,1,1,0,0,36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,JUDO,2024-07-25 03:00:47.190,2024-10-02 03:00:57.673
11455518,52678703,infostrada,6994325.0,-1.0,CHEN,Yang,89910,China,46,China,10.0,61.57,61570.0,557862,Discus Throw - Women,Discus Throw - Women,Senior,35870,413,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,13,Lancers,6704,Disque - Femmes,Femmes,Individuel,1,1,1,0,1,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
