[2025-03-13T13:35:29.791+0000] {processor.py:186} INFO - Started process (PID=85) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-13T13:35:29.792+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-13T13:35:29.795+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:29.795+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-13T13:35:31.262+0000] {processor.py:925} INFO - DAG(s) 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_produces_2', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-13T13:35:31.314+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.314+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-13T13:35:31.341+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.341+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-12 01:00:00+00:00, run_after=2025-03-12 01:00:00+00:00
[2025-03-13T13:35:31.346+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.346+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-13T13:35:31.348+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.348+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-13T13:35:31.350+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.350+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-13T13:35:31.352+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.352+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-13T13:35:31.354+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.353+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-13T13:35:31.355+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.355+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-13T13:35:31.357+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.356+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-13T13:35:31.359+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.359+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-12 00:00:00+00:00, run_after=2025-03-13 00:00:00+00:00
[2025-03-13T13:35:31.361+0000] {logging_mixin.py:190} INFO - [2025-03-13T13:35:31.361+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-13T13:35:31.397+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 1.636 seconds
