[2025-04-09T14:50:02.116+0000] {processor.py:186} INFO - Started process (PID=84) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-04-09T14:50:02.117+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-04-09T14:50:02.118+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.118+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-04-09T14:50:02.419+0000] {processor.py:925} INFO - DAG(s) 'consume_1_or_both_2_and_3_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_1_and_2', 'dataset_produces_2', 'consume_1_or_2_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-04-09T14:50:02.464+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.464+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-04-09T14:50:02.620+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.620+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-04-09 01:00:00+00:00, run_after=2025-04-09 01:00:00+00:00
[2025-04-09T14:50:02.623+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.623+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-04-09T14:50:02.625+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.625+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-04-09T14:50:02.626+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.626+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-04-09T14:50:02.627+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.627+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-04-09T14:50:02.628+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.628+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-04-09T14:50:02.629+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.629+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-04-09T14:50:02.630+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.629+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-04-09T14:50:02.631+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.631+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-04-08 00:00:00+00:00, run_after=2025-04-09 00:00:00+00:00
[2025-04-09T14:50:02.632+0000] {logging_mixin.py:190} INFO - [2025-04-09T14:50:02.632+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-04-09T14:50:02.656+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.544 seconds
