[2025-05-06T09:21:05.005+0000] {processor.py:186} INFO - Started process (PID=97) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-05-06T09:21:05.007+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-05-06T09:21:05.010+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.010+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-05-06T09:21:05.602+0000] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_produces_2', 'dataset_produces_1', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-05-06T09:21:05.672+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.671+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-05-06T09:21:05.924+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.924+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-04-30 01:00:00+00:00, run_after=2025-04-30 01:00:00+00:00
[2025-05-06T09:21:05.930+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.930+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-05-06T09:21:05.933+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.932+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-05-06T09:21:05.934+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.934+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-05-06T09:21:05.937+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.936+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-05-06T09:21:05.938+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.938+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-05-06T09:21:05.940+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.940+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-05-06T09:21:05.943+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.943+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-05-06T09:21:05.949+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.948+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-05-05 00:00:00+00:00, run_after=2025-05-06 00:00:00+00:00
[2025-05-06T09:21:05.952+0000] {logging_mixin.py:190} INFO - [2025-05-06T09:21:05.952+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-05-06T09:21:06.005+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 1.007 seconds
